case_number,reason,total_txt_docs,non_outcome_txt_docs,has_claim_doc
CSM25870489,only_outcome_docs_present,2,0,no
CSM25870490,only_outcome_docs_present,3,0,no
CSM25870491,only_outcome_docs_present,4,0,no
CSM25870492,only_outcome_docs_present,6,0,no
CSM25870493,only_outcome_docs_present,3,0,no
CSM25870494,only_outcome_docs_present,2,0,no
CSM25870495,only_outcome_docs_present,2,0,no
CSM25870496,only_outcome_docs_present,1,0,no
CSM25870497,only_outcome_docs_present,3,0,no
CSM25870498,only_outcome_docs_present,2,0,no
CSM25870499,only_outcome_docs_present,2,0,no
CSM25870500,only_outcome_docs_present,2,0,no
CSM25870501,only_outcome_docs_present,2,0,no
CSM25870502,only_outcome_docs_present,3,0,no
CSM25870503,only_outcome_docs_present,3,0,no
CSM25870504,only_outcome_docs_present,5,0,no
CSM25870505,only_outcome_docs_present,2,0,no
CSM25870506,only_outcome_docs_present,4,0,no
CSM25870507,only_outcome_docs_present,6,0,no
CSM25870508,only_outcome_docs_present,2,0,no
CSM25870509,only_outcome_docs_present,3,0,no
CSM25870510,only_outcome_docs_present,2,0,no
CSM25870511,only_outcome_docs_present,1,0,no
CSM25870512,only_outcome_docs_present,5,0,no
CSM25870513,only_outcome_docs_present,4,0,no
CSM25870514,only_outcome_docs_present,2,0,no
CSM25870515,only_outcome_docs_present,2,0,no
CSM25870516,only_outcome_docs_present,3,0,no
CSM25870517,only_outcome_docs_present,2,0,no
CSM25870518,only_outcome_docs_present,2,0,no
CSM25870519,only_outcome_docs_present,2,0,no
CSM25870520,only_outcome_docs_present,4,0,no
CSM25870521,only_outcome_docs_present,4,0,no
CSM25870522,only_outcome_docs_present,2,0,no
CSM25870523,only_outcome_docs_present,2,0,no
CSM25870524,only_outcome_docs_present,3,0,no
CSM25870525,only_outcome_docs_present,4,0,no
CSM25870526,only_outcome_docs_present,5,0,no
CSM25870527,only_outcome_docs_present,2,0,no
CSM25870528,only_outcome_docs_present,2,0,no
CSM25870529,only_outcome_docs_present,6,0,no
CSM25870530,only_outcome_docs_present,2,0,no
CSM25870531,only_outcome_docs_present,2,0,no
CSM25870532,only_outcome_docs_present,3,0,no
CSM25870533,only_outcome_docs_present,2,0,no
CSM25870534,only_outcome_docs_present,2,0,no
CSM25870535,only_outcome_docs_present,2,0,no
CSM25870536,only_outcome_docs_present,3,0,no
CSM25870537,only_outcome_docs_present,2,0,no
CSM25870538,only_outcome_docs_present,3,0,no
CSM25870539,only_outcome_docs_present,5,0,no
CSM25870540,only_outcome_docs_present,2,0,no
CSM25870541,only_outcome_docs_present,2,0,no
CSM25870542,only_outcome_docs_present,2,0,no
CSM25870543,only_outcome_docs_present,6,0,no
CSM25870544,only_outcome_docs_present,4,0,no
CSM25870545,only_outcome_docs_present,2,0,no
CSM25870546,only_outcome_docs_present,2,0,no
CSM25870547,only_outcome_docs_present,6,0,no
CSM25870548,only_outcome_docs_present,2,0,no
CSM25870549,only_outcome_docs_present,2,0,no
CSM25870550,only_outcome_docs_present,3,0,no
CSM25870551,only_outcome_docs_present,8,0,no
CSM25870552,only_outcome_docs_present,3,0,no
CSM25870553,only_outcome_docs_present,2,0,no
CSM25870554,only_outcome_docs_present,2,0,no
CSM25870555,only_outcome_docs_present,5,0,no
CSM25870556,only_outcome_docs_present,2,0,no
CSM25870557,only_outcome_docs_present,2,0,no
CSM25870558,only_outcome_docs_present,5,0,no
CSM25870559,only_outcome_docs_present,2,0,no
CSM25870560,only_outcome_docs_present,2,0,no
CSM25870561,only_outcome_docs_present,2,0,no
CSM25870562,only_outcome_docs_present,3,0,no
CSM25870563,only_outcome_docs_present,1,0,no
CSM25870564,only_outcome_docs_present,2,0,no
CSM25870565,only_outcome_docs_present,3,0,no
CSM25870566,only_outcome_docs_present,2,0,no
CSM25870567,only_outcome_docs_present,3,0,no
CSM25870568,only_outcome_docs_present,2,0,no
CSM25870569,only_outcome_docs_present,7,0,no
CSM25870570,only_outcome_docs_present,2,0,no
CSM25870571,only_outcome_docs_present,2,0,no
CSM25870572,only_outcome_docs_present,2,0,no
CSM25870573,only_outcome_docs_present,1,0,no
CSM25870574,only_outcome_docs_present,3,0,no
CSM25870575,only_outcome_docs_present,2,0,no
CSM25870576,only_outcome_docs_present,2,0,no
CSM25870577,only_outcome_docs_present,3,0,no
CSM25870578,only_outcome_docs_present,1,0,no
CSM25870579,only_outcome_docs_present,3,0,no
CSM25870580,only_outcome_docs_present,2,0,no
CSM25870581,only_outcome_docs_present,2,0,no
CSM25870582,only_outcome_docs_present,2,0,no
CSM25870583,only_outcome_docs_present,2,0,no
CSM25870584,only_outcome_docs_present,4,0,no
CSM25870585,only_outcome_docs_present,1,0,no
CSM25870586,only_outcome_docs_present,5,0,no
CSM25870587,only_outcome_docs_present,2,0,no
CSM25870588,only_outcome_docs_present,3,0,no
CSM25870589,only_outcome_docs_present,2,0,no
CSM25870590,only_outcome_docs_present,3,0,no
CSM25870591,only_outcome_docs_present,4,0,no
CSM25870592,only_outcome_docs_present,3,0,no
CSM25870593,only_outcome_docs_present,4,0,no
CSM25870594,only_outcome_docs_present,5,0,no
CSM25870595,only_outcome_docs_present,4,0,no
CSM25870596,only_outcome_docs_present,2,0,no
CSM25870597,only_outcome_docs_present,4,0,no
CSM25870598,only_outcome_docs_present,3,0,no
CSM25870599,only_outcome_docs_present,3,0,no
CSM25870600,only_outcome_docs_present,5,0,no
CSM25870601,only_outcome_docs_present,2,0,no
CSM25870602,only_outcome_docs_present,5,0,no
CSM25870603,only_outcome_docs_present,2,0,no
CSM25870604,only_outcome_docs_present,3,0,no
CSM25870605,only_outcome_docs_present,2,0,no
CSM25870606,only_outcome_docs_present,2,0,no
CSM25870607,only_outcome_docs_present,1,0,no
CSM25870608,only_outcome_docs_present,2,0,no
CSM25870609,only_outcome_docs_present,6,0,no
CSM25870610,only_outcome_docs_present,2,0,no
CSM25870611,only_outcome_docs_present,3,0,no
CSM25870612,only_outcome_docs_present,3,0,no
CSM25870613,only_outcome_docs_present,4,0,no
CSM25870614,only_outcome_docs_present,2,0,no
CSM25870615,only_outcome_docs_present,3,0,no
CSM25870616,only_outcome_docs_present,2,0,no
CSM25870617,only_outcome_docs_present,3,0,no
CSM25870618,only_outcome_docs_present,2,0,no
CSM25870619,only_outcome_docs_present,2,0,no
CSM25870620,only_outcome_docs_present,2,0,no
CSM25870621,only_outcome_docs_present,4,0,no
CSM25870622,only_outcome_docs_present,4,0,no
CSM25870623,only_outcome_docs_present,2,0,no
CSM25870624,only_outcome_docs_present,2,0,no
CSM25870625,only_outcome_docs_present,3,0,no
CSM25870626,only_outcome_docs_present,3,0,no
CSM25870627,only_outcome_docs_present,2,0,no
CSM25870628,only_outcome_docs_present,2,0,no
CSM25870629,only_outcome_docs_present,4,0,no
CSM25870630,only_outcome_docs_present,3,0,no
CSM25870631,only_outcome_docs_present,4,0,no
CSM25870632,only_outcome_docs_present,2,0,no
CSM25870633,only_outcome_docs_present,3,0,no
CSM25870634,only_outcome_docs_present,3,0,no
CSM25870635,only_outcome_docs_present,4,0,no
CSM25870636,only_outcome_docs_present,2,0,no
CSM25870637,only_outcome_docs_present,4,0,no
CSM25870638,only_outcome_docs_present,4,0,no
CSM25870639,only_outcome_docs_present,2,0,no
CSM25870640,only_outcome_docs_present,2,0,no
